Step,Loss
0,0.773043
40,0.359838
80,0.377441
120,0.210794
160,0.119428
200,0.109031
240,0.117734
280,0.124673
320,0.101633
360,0.0699675
400,0.111691
440,0.0858123
480,0.0570046
520,0.0375638
560,0.057448
600,0.0781998
640,0.0661663
680,0.0667473
720,0.0675242
760,0.0450196
800,0.0567208
840,0.109486
880,0.0435161
920,0.0455418
960,0.0404956
1000,0.0406725
1040,0.0255921
1080,0.0358573
1120,0.0509717
1160,0.0593051
1200,0.0361587
1240,0.0191237
1280,0.0280553
1320,0.0481189
1360,0.0247992
1400,0.0294302
1440,0.0226068
1480,0.0485048
1520,0.0190973
1560,0.074206
1600,0.016288
1640,0.0208578
1680,0.0186515
1720,0.0155616
1760,0.0352785
1800,0.0119018
1840,0.0256323
1880,0.0288418
1920,0.0305083
1960,0.0338166
1999,0.0194323
